이름;위치;기간;피리어드;Rally;Result;공격성공;실수 기술;ColorTag
1set;3008;19702;1. 피리어드;1set;Away Mistakes Win;중간볼 공격;;Color2
1set;33328;4651;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;52947;7318;1. 피리어드;1set;;;;Color2
1set;70415;17286;1. 피리어드;1set;;;;Color2
1set;101403;11968;1. 피리어드;1set;;공격;;Color2
1set;129906;5518;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;147325;13750;1. 피리어드;1set;;;;Color2
1set;174861;7752;1. 피리어드;1set;Away Successful Lose;;;Color2
1set;193997;7667;1. 피리어드;1set;Away Successful Lose;;;Color2
1set;220750;10202;1. 피리어드;1set;;공격;;Color2
1set;247553;13769;1. 피리어드;1set;Successful Win;;;Color2
1set;278340;5001;1. 피리어드;1set;;공격;;Color2
1set;302976;10869;1. 피리어드;1set;;;;Color2
1set;329113;12668;1. 피리어드;1set;;공격;;Color2
1set;412799;7317;1. 피리어드;1set;;공격;;Color2
1set;435168;21720;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;477156;5667;1. 피리어드;1set;;;;Color2
2set;482822;1084;1. 피리어드;2set;;;;Color2
1set;483906;1217;1. 피리어드;1set;;공격;;Color2
1set;497508;13902;1. 피리어드;1set;Successful Win;초구 공격;;Color2
1set;530045;8686;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;550798;8150;1. 피리어드;1set;Away Successful Lose;;;Color2
1set;575901;15785;1. 피리어드;1set;;공격;;Color2
1set;612938;11302;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;644158;10585;1. 피리어드;1set;;;;Color2
1set;671878;7218;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;690697;12852;1. 피리어드;1set;Away Successful Lose;;;Color2
1set;722817;4718;1. 피리어드;1set;Successful Win;초구 공격;;Color2
1set;738636;8785;1. 피리어드;1set;;;;Color2
2set;908690;5367;1. 피리어드;2set;Away Successful Lose;;;Color2
2set;926792;14668;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;960578;9202;1. 피리어드;2set;Successful Win;초구 공격;;Color2
2set;985165;5368;1. 피리어드;2set;Mistake Lose;;Hairpin;Color2
2set;1003851;11234;1. 피리어드;2set;Away Successful Lose;;;Color2
2set;1054373;2701;1. 피리어드;2set;Successful Win;초구 공격;;Color2
2set;1082377;19202;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1139699;1051;1. 피리어드;2set;;;Return;Color2
2set;1149935;7167;1. 피리어드;2set;Mistake Lose;;Hairpin;Color2
2set;1175988;7900;1. 피리어드;2set;;;;Color2
1set;1184672;551;1. 피리어드;1set;Successful Win;초구 공격;;Color2
2set;1196924;9400;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1224910;10051;1. 피리어드;2set;Mistake Lose;;Hairpin;Color2
2set;1251046;7868;1. 피리어드;2set;Away Successful Lose;;;Color2
2set;1284501;6150;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1304736;17619;1. 피리어드;2set;Successful Win;초구 공격;;Color2
2set;1348991;13085;1. 피리어드;2set;Away Successful Lose;;;Color2
2set;1382195;19636;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1422400;7234;1. 피리어드;2set;Away Successful Lose;;;Color2
2set;1460255;18852;1. 피리어드;2set;Successful Win;초구 공격;;Color2
2set;1509676;10635;1. 피리어드;2set;Successful Win;공격;;Color2
2set;1588469;3017;1. 피리어드;2set;Away Successful Lose;;;Color2
