이름;위치;기간;피리어드;Rally;Result;상대성공실점;Player;실수 기술;득점유형;ColorTag
1set;184544;6283;1. 피리어드;1set;Away Successful Lose;공격;;;;Color3
1set;204179;8536;1. 피리어드;1set;Mistake Lose;;Home2;Receive;;Color3
1set;226884;6433;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;247938;11902;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;272558;7935;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;305781;11953;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;338121;11435;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;368160;9485;1. 피리어드;1set;Mistake Lose;;Home1;Short Drive;;Color3
1set;395431;4118;1. 피리어드;1set;Mistake Lose;;Home1;Serve Receive;;Color3
1set;414551;7336;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;434705;7718;1. 피리어드;1set;Mistake Lose;;Home2;Drive;;Color3
1set;457743;8068;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;482164;13103;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;566964;6884;1. 피리어드;1set;Mistake Lose;;Home2;Return;;Color3
1set;584483;31740;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;638376;5219;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;673816;18137;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;708873;7368;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;735711;21137;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;786371;5901;1. 피리어드;1set;Mistake Lose;;Home1;Serve Receive;;Color3
1set;806841;6718;1. 피리어드;1set;Mistake Lose;;Home2;Smash;;Color3
1set;833129;26038;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;883506;1984;1. 피리어드;1set;Successful Win;;;;중간볼;Color3
1set;901121;9936;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;932343;16020;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;989503;19870;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;1032793;4101;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;1051580;8368;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;1080184;7635;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;1103422;6168;1. 피리어드;1set;Mistake Lose;;Home2;Receive;;Color3
2set;1245895;5985;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1268483;19254;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1313124;3468;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1326076;12469;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1365965;5368;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1385419;3801;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1404305;14670;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1466866;9635;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1485869;6352;1. 피리어드;2set;Mistake Lose;;Home1;Drive;;Color3
2set;1511224;15385;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1543345;7234;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1582968;7568;1. 피리어드;2set;Away Successful Lose;중간볼;;;;Color3
2set;1605673;11419;1. 피리어드;2set;Mistake Lose;;Home1;Return;;Color3
2set;1631577;7084;1. 피리어드;2set;Mistake Lose;;Home1;Block;;Color3
2set;1652714;20286;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1747396;11236;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1777818;15553;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1827593;6501;1. 피리어드;2set;Successful Win;;;;초구;Color3
2set;1847013;4184;1. 피리어드;2set;Away Successful Lose;초구;;;;Color3
2set;1871494;11498;1. 피리어드;2set;Successful Win;;;;중간볼;Color3
2set;1897109;3801;1. 피리어드;2set;Mistake Lose;;Home1;Return;;Color3
2set;1917862;12185;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1948600;8719;1. 피리어드;2set;Successful Win;;;;중간볼;Color3
2set;1972253;9319;1. 피리어드;2set;Mistake Lose;;Home1;Smash;;Color3
2set;2033614;26904;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;2109859;13619;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;2168170;29454;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;2243232;15952;1. 피리어드;2set;Away Successful Lose;중간볼;;;;Color3
2set;2281938;8968;1. 피리어드;2set;Successful Win;;;;초구;Color3
2set;2302142;7034;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;2320945;6018;1. 피리어드;2set;Mistake Lose;;Home2;Return;;Color3
