이름;위치;기간;피리어드;Rally;Result;실수 기술;Zone;ColorTag
1set;2530;8119;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;18183;4667;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;29800;6802;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;45302;9602;1. 피리어드;1set;Mistake Lose;Drop;;Color2
1set;69723;18703;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;101344;5650;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;118296;5084;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;134632;9985;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;157518;7601;1. 피리어드;1set;Away Successful Lose;;Zone 4;Color2
1set;182188;8018;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;201308;9618;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;225727;16019;1. 피리어드;1set;Mistake Lose;Drop;;Color2
1set;257032;8917;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;278934;6918;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;302721;10618;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;328825;15451;1. 피리어드;1set;Successful Win;;Zone 3;Color2
1set;362696;21120;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;413285;11436;1. 피리어드;1set;Mistake Lose;Cut;;Color2
1set;447407;26937;1. 피리어드;1set;Away Successful Lose;;Zone 2;Color2
1set;511250;19452;1. 피리어드;1set;Mistake Lose;ETC;;Color2
1set;625498;14985;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;661586;3917;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;677088;6818;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;706376;6718;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;728929;11751;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;771568;6034;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;789437;16652;1. 피리어드;1set;Mistake Lose;ETC;;Color2
1set;830126;5818;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;856896;6218;1. 피리어드;1set;Successful Win;;Zone 3;Color2
1set;876865;4151;1. 피리어드;1set;Away Successful Lose;;Zone 3;Color2
1set;928956;5101;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;944075;5367;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;965444;6601;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;990947;9986;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;1026619;13586;1. 피리어드;1set;Mistake Lose;Drop;;Color2
1set;1061957;5101;1. 피리어드;1set;Mistake Lose;Serve Receive;;Color2
1set;1079959;16736;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;1114864;6035;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;1138985;5334;1. 피리어드;1set;Successful Win;;Zone 1;Color2
2set;1269852;10069;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1296455;7635;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1320742;10135;1. 피리어드;2set;Mistake Lose;Clear;;Color2
2set;1343380;19218;1. 피리어드;2set;Successful Win;;Zone 4;Color2
2set;1383101;4501;1. 피리어드;2set;Mistake Lose;Smash;;Color2
2set;1402771;8850;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1435108;7002;1. 피리어드;2set;Mistake Lose;ETC;;Color2
2set;1461294;11102;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1485882;4134;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1501450;4117;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1514585;6218;1. 피리어드;2set;Away Successful Lose;;Zone 6;Color2
2set;1546690;8284;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1574892;4286;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1591862;16820;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1623017;3801;1. 피리어드;2set;Away Successful Lose;;Zone 2;Color2
2set;1640870;6901;1. 피리어드;2set;Successful Win;;Zone 8;Color2
2set;1679608;16052;1. 피리어드;2set;Mistake Lose;Hairpin;;Color2
2set;1714713;24087;1. 피리어드;2set;Successful Win;;Zone 5;Color2
2set;1787673;5683;1. 피리어드;2set;Mistake Lose;Smash;;Color2
2set;1816060;10785;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1895754;5918;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
