이름;위치;기간;피리어드;Rally;Result;Zone;실수 기술;ColorTag
1set;2098;18169;1. 피리어드;1set;Away Successful Lose;Zone 7;;Color2
1set;31018;5351;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;47337;6969;1. 피리어드;1set;Mistake Lose;;Drop;Color2
1set;66290;5052;1. 피리어드;1set;Away Successful Lose;Zone 6;;Color2
1set;83360;27270;1. 피리어드;1set;Away Successful Lose;Zone 2;;Color2
1set;127916;8652;1. 피리어드;1set;Successful Win;Zone 4;;Color2
1set;151386;5617;1. 피리어드;1set;Successful Win;Zone 1;;Color2
1set;168939;13869;1. 피리어드;1set;Away Successful Lose;Zone 5;;Color2
1set;203444;17820;1. 피리어드;1set;Away Successful Lose;Zone 2;;Color2
1set;237182;6618;1. 피리어드;1set;Away Successful Lose;Zone 6;;Color2
1set;255586;5067;1. 피리어드;1set;Away Successful Lose;Zone 3;;Color2
1set;273287;3901;1. 피리어드;1set;Mistake Lose;;Serve Receive;Color2
1set;287040;19686;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;322311;7135;1. 피리어드;1set;Mistake Lose;;Hairpin;Color2
1set;342581;12169;1. 피리어드;1set;Successful Win;Zone 6;;Color2
1set;370719;6150;1. 피리어드;1set;Away Successful Lose;Zone 3;;Color2
1set;438712;14753;1. 피리어드;1set;Successful Win;Zone 2;;Color2
1set;469266;6184;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;486402;5202;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;508189;15318;1. 피리어드;1set;Successful Win;Zone 3;;Color2
1set;539394;3767;1. 피리어드;1set;Successful Win;Zone 4;;Color2
1set;564880;4151;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;580666;9069;1. 피리어드;1set;Mistake Lose;;Cut;Color2
1set;602685;7268;1. 피리어드;1set;Mistake Lose;;Hairpin;Color2
1set;651710;10218;1. 피리어드;1set;Mistake Lose;;Drop;Color2
1set;675213;7219;1. 피리어드;1set;Successful Win;Zone 5;;Color2
1set;698317;7551;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;717185;10252;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;741607;10018;1. 피리어드;1set;Mistake Lose;;Drop;Color2
1set;788446;9301;1. 피리어드;1set;Away Successful Lose;Zone 1;;Color2
1set;810367;7068;1. 피리어드;1set;Successful Win;Zone 4;;Color2
1set;832285;5518;1. 피리어드;1set;Successful Win;Zone 1;;Color2
1set;848838;4968;1. 피리어드;1set;Away Successful Lose;Zone 1;;Color2
1set;866257;9803;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;891561;4451;1. 피리어드;1set;Mistake Lose;;Serve;Color2
2set;1024914;8102;1. 피리어드;2set;Successful Win;Zone 8;;Color2
2set;1055369;6118;1. 피리어드;2set;Away Successful Lose;Zone 2;;Color2
2set;1073105;5868;1. 피리어드;2set;Mistake Lose;;Smash;Color2
2set;1091523;26704;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1134397;5901;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1156083;5784;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1176336;18653;1. 피리어드;2set;Away Successful Lose;Zone 2;;Color2
2set;1236461;8102;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1257465;4667;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1276200;11286;1. 피리어드;2set;Away Successful Lose;Zone 5;;Color2
2set;1322391;13735;1. 피리어드;2set;Successful Win;Zone 4;;Color2
2set;1352128;4918;1. 피리어드;2set;Mistake Lose;;Clear;Color2
2set;1369248;3934;1. 피리어드;2set;Successful Win;;Smash;Color2
2set;1387317;10670;1. 피리어드;2set;Away Successful Lose;Zone 2;;Color2
2set;1413071;4366;1. 피리어드;2set;Away Successful Lose;Zone 6;;Color2
2set;1479714;4617;1. 피리어드;2set;Away Successful Lose;Zone 6;;Color2
2set;1499533;9969;1. 피리어드;2set;Away Successful Lose;Zone 4;;Color2
2set;1524403;8136;1. 피리어드;2set;Successful Win;Zone 5;;Color2
2set;1548507;10085;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1572011;6017;1. 피리어드;2set;Away Successful Lose;Zone 3;;Color2
2set;1595680;4668;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1611817;13035;1. 피리어드;2set;Away Successful Lose;Zone 6;;Color2
2set;1641888;7551;1. 피리어드;2set;Away Successful Lose;Zone 4;;Color2
2set;1660757;6050;1. 피리어드;2set;Away Successful Lose;Zone 2;;Color2
2set;1678809;8001;1. 피리어드;2set;Away Successful Lose;Zone 1;;Color2
2set;1697896;5085;1. 피리어드;2set;Successful Win;Zone 1;;Color2
2set;1713115;5318;1. 피리어드;2set;Away Successful Lose;Zone 3;;Color2
2set;1727766;5869;1. 피리어드;2set;Away Successful Lose;Zone 4;;Color2
