이름;위치;기간;피리어드;Rally;Result;실수 기술;Zone;ColorTag
1set;36169;13335;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;59921;12119;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;84025;11367;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;110812;6934;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;128448;7051;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;148683;6868;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;167352;13003;1. 피리어드;1set;Successful Win;;Zone 5;Color2
1set;194774;13668;1. 피리어드;1set;Away Successful Lose;;Zone 1;Color2
1set;230012;38606;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;285886;10685;1. 피리어드;1set;Mistake Lose;Clear;;Color2
1set;309539;13502;1. 피리어드;1set;Away Successful Lose;;Zone 2;Color2
1set;335760;12736;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;369264;6868;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;387184;60626;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;466429;9234;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;490298;9935;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;511852;13335;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;551174;17186;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;594280;16570;1. 피리어드;1set;Away Successful Lose;;Zone 2;Color2
1set;676426;8683;1. 피리어드;1set;Successful Win;;Zone 5;Color2
1set;697795;23820;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;738984;6935;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;765421;19620;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;801726;18170;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;863168;27054;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;921276;6769;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;941630;30837;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;1004571;30789;1. 피리어드;1set;Successful Win;;Zone 5;Color2
1set;1058529;7834;1. 피리어드;1set;Away Successful Lose;;Zone 2;Color2
1set;1090735;19702;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1129473;22603;1. 피리어드;1set;Mistake Lose;Clear;;Color2
1set;1178713;11718;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;1202583;5368;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1225286;41940;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;1323183;9085;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;1342420;12335;1. 피리어드;1set;Successful Win;;Zone 3;Color2
1set;1385743;19437;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;1454286;12685;1. 피리어드;1set;Mistake Lose;Cut;;Color2
1set;1488407;22604;1. 피리어드;1set;Away Mistakes Win;;;Color2
2set;1642414;24586;1. 피리어드;2set;Mistake Lose;Clear;;Color2
2set;1677019;23203;1. 피리어드;2set;Mistake Lose;Hairpin;;Color2
2set;1719274;7869;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1742628;6884;1. 피리어드;2set;Successful Win;;Zone 7;Color2
2set;1760147;5917;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1775981;7502;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1795834;18086;1. 피리어드;2set;Away Successful Lose;;Zone 2;Color2
2set;1831389;21669;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1872028;28071;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1953605;9901;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1976158;17503;1. 피리어드;2set;Successful Win;;Zone 2;Color2
2set;2008545;8101;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2034132;11618;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2056001;22253;1. 피리어드;2set;Successful Win;;Zone 1;Color2
2set;2140861;29888;1. 피리어드;2set;Mistake Lose;Return;;Color2
2set;2183018;11368;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2216005;15069;1. 피리어드;2set;Successful Win;;Zone 7;Color2
2set;2241642;8851;1. 피리어드;2set;Successful Win;;Zone 1;Color2
2set;2268479;6669;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2285082;8317;1. 피리어드;2set;Successful Win;;Zone 1;Color2
2set;2303651;7184;1. 피리어드;2set;Away Successful Lose;;Zone 8;Color2
2set;2321453;13101;1. 피리어드;2set;Away Mistakes Win;ETC;;Color2
2set;2346839;6517;1. 피리어드;2set;Successful Win;;Zone 5;Color2
2set;2363091;6668;1. 피리어드;2set;Successful Win;;Zone 3;Color2
2set;2376776;11069;1. 피리어드;2set;Mistake Lose;Return;;Color2
2set;2399313;10468;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2419015;12268;1. 피리어드;2set;Successful Win;;Zone 2;Color2
