이름;위치;기간;피리어드;Rally;Result;Zone;실수 기술;ColorTag
1set;1596;13800;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;24848;3584;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;38034;12634;1. 피리어드;1set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
1set;61303;12585;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;87807;16752;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;118012;4601;1. 피리어드;1set;Mistake Lose;;Smash;Color2
1set;134214;11935;1. 피리어드;1set;Mistake Lose;;ETC;Color2
1set;157585;6034;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;177654;8368;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;203691;8585;1. 피리어드;1set;Away Successful Lose;뒤-앞;;Color2
1set;223193;7418;1. 피리어드;1set;Away Successful Lose;뒤-사이드(뒷사각);;Color2
1set;268717;16919;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;301772;8252;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;325309;5066;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;339927;7202;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;361330;19787;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;399003;6551;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;416655;8969;1. 피리어드;1set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
1set;436942;15203;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;467029;13953;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;541291;12068;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;578646;6749;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;596699;18152;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;635087;7035;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;655974;4717;1. 피리어드;1set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
1set;672959;4667;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;689779;5501;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;719866;13569;1. 피리어드;1set;Away Successful Lose;뒤뒤;;Color2
1set;749471;5485;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;788861;5667;1. 피리어드;1set;Away Successful Lose;사이드-뒤;;Color2
1set;806013;7018;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;828366;8418;1. 피리어드;1set;Mistake Lose;;Smash;Color2
1set;849669;10402;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;877123;19770;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;916763;12751;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;965620;6334;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;986906;7401;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;1005042;5984;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1030412;5351;1. 피리어드;1set;Away Successful Lose;사이드-뒤;;Color2
1set;1047398;29688;1. 피리어드;1set;Mistake Lose;;Hairpin;Color2
1set;1095789;10768;1. 피리어드;1set;Successful Win;앞-뒤;;Color2
1set;1128944;24554;1. 피리어드;1set;Mistake Lose;;ETC;Color2
1set;1171866;5318;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1196654;6635;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
2set;1334674;21120;1. 피리어드;2set;Away Successful Lose;뒤-앞;;Color2
2set;1375763;15253;1. 피리어드;2set;Successful Win;뒤뒤;;Color2
2set;1412318;6718;1. 피리어드;2set;Away Successful Lose;앞-사이드(앞사각);;Color2
2set;1430371;8718;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
2set;1461743;7684;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1482079;28504;1. 피리어드;2set;Away Successful Lose;앞-사이드(앞사각);;Color2
2set;1526719;10502;1. 피리어드;2set;Away Successful Lose;사이드-앞;;Color2
2set;1561040;6185;1. 피리어드;2set;Successful Win;앞-뒤;;Color2
2set;1580760;7268;1. 피리어드;2set;Mistake Lose;;Return;Color2
2set;1595879;6351;1. 피리어드;2set;Successful Win;뒤-사이드(뒷사각);;Color2
2set;1643552;7902;1. 피리어드;2set;Successful Win;뒤-사이드(뒷사각);;Color2
2set;1666706;16220;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
2set;1699544;23854;1. 피리어드;2set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
2set;1736483;12702;1. 피리어드;2set;Away Successful Lose;뒤-사이드(뒷사각);;Color2
2set;1763287;6468;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
2set;1785295;20015;1. 피리어드;2set;Successful Win;앞-앞(헤어핀싸움);;Color2
2set;1824046;8518;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1846032;24920;1. 피리어드;2set;Away Successful Lose;앞-사이드(앞사각);;Color2
2set;1888821;15053;1. 피리어드;2set;Successful Win;앞-앞(헤어핀싸움);;Color2
2set;1967234;5367;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1984135;11702;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
2set;2024308;8452;1. 피리어드;2set;Away Successful Lose;앞-사이드(앞사각);;Color2
2set;2051163;12636;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
2set;2077167;8150;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2097286;7952;1. 피리어드;2set;Successful Win;뒤뒤;;Color2
2set;2119190;17519;1. 피리어드;2set;Away Successful Lose;앞-뒤;;Color2
2set;2153477;19103;1. 피리어드;2set;Away Successful Lose;앞-사이드(앞사각);;Color2
2set;2190300;5216;1. 피리어드;2set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
2set;2209619;6668;1. 피리어드;2set;Successful Win;앞-앞(헤어핀싸움);;Color2
2set;2234722;15536;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2273796;17719;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2307267;7885;1. 피리어드;2set;Successful Win;뒤뒤;;Color2
2set;2328087;8334;1. 피리어드;2set;Away Mistakes Win;;;Color2
