이름;위치;기간;피리어드;Rally;Result;Zone;실수 기술;ColorTag
1set;3200;14836;1. 피리어드;1set;Away Successful Lose;뒤-사이드(뒷사각);;Color2
1set;31521;5201;1. 피리어드;1set;Successful Win;옆-옆(중간볼);;Color2
1set;53374;13918;1. 피리어드;1set;Successful Win;앞-뒤;;Color2
1set;81394;17268;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;115216;16336;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;154771;6635;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;174258;4950;1. 피리어드;1set;Mistake Lose;;Serve Receive;Color2
1set;190510;12720;1. 피리어드;1set;Successful Win;뒤-사이드(뒷사각);;Color2
1set;253318;12119;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;283089;10602;1. 피리어드;1set;Away Successful Lose;뒤-앞;;Color2
1set;307810;18119;1. 피리어드;1set;Mistake Lose;;ETC;Color2
1set;341964;4851;1. 피리어드;1set;Mistake Lose;;Cut;Color2
1set;363150;12436;1. 피리어드;1set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
1set;389438;15735;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;421725;13868;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;448313;5217;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;464299;25120;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;509338;21004;1. 피리어드;1set;Away Successful Lose;뒤-사이드(뒷사각);;Color2
1set;595066;10585;1. 피리어드;1set;Successful Win;뒤-사이드(뒷사각);;Color2
1set;620853;40206;1. 피리어드;1set;Mistake Lose;;Smash;Color2
1set;679262;17003;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;721701;11269;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;751756;6584;1. 피리어드;1set;Away Successful Lose;사이드-뒤;;Color2
1set;794329;12251;1. 피리어드;1set;Away Successful Lose;사이드-뒤;;Color2
1set;850569;5618;1. 피리어드;1set;Successful Win;뒤-앞;;Color2
1set;891008;22919;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;936499;22269;1. 피리어드;1set;Mistake Lose;;Drive;Color2
1set;978187;6868;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1040579;35572;1. 피리어드;1set;Successful Win;뒤-사이드(뒷사각);;Color2
1set;1094737;6202;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1123307;7484;1. 피리어드;1set;Mistake Lose;;Return;Color2
1set;1145644;6485;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1168164;9619;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1195035;7151;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1218287;28305;1. 피리어드;1set;Mistake Lose;;Smash;Color2
1set;1264945;10335;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;1296349;9884;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
2set;1434718;9968;1. 피리어드;2set;Successful Win;뒤-앞;;Color2
2set;1459155;11918;1. 피리어드;2set;Successful Win;앞-뒤;;Color2
2set;1487392;21904;1. 피리어드;2set;Successful Win;앞-앞(헤어핀싸움);;Color2
2set;1529815;10968;1. 피리어드;2set;Successful Win;뒤뒤;;Color2
2set;1561319;11036;1. 피리어드;2set;Away Successful Lose;사이드-뒤;;Color2
2set;1588539;14753;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
2set;1621245;6601;1. 피리어드;2set;Mistake Lose;;Clear;Color2
2set;1639063;17986;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1675618;15503;1. 피리어드;2set;Successful Win;앞-사이드(앞사각);;Color2
