이름;위치;기간;피리어드;Rally;Result;상대성공실점;득점유형;Player;실수 기술;ColorTag
1set;5613;8484;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;24083;21751;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;68405;7468;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;86374;9017;1. 피리어드;1set;Mistake Lose;;;Home2;Smash;Color3
1set;118529;2316;1. 피리어드;1set;Mistake Lose;;;Home2;Return;Color3
1set;128748;3850;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;145016;4618;1. 피리어드;1set;Mistake Lose;;;Home2;Serve;Color3
1set;198523;4751;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;215409;5885;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;231079;5585;1. 피리어드;1set;Mistake Lose;;;Home2;Smash;Color3
1set;251149;8534;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;275902;11318;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;306273;16320;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;344445;11269;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;371532;15352;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;410105;4550;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;426541;9501;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;451360;5935;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;519004;10018;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;539973;6468;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;567411;5551;1. 피리어드;1set;Mistake Lose;;;Home1;Short Drive;Color3
1set;582697;3567;1. 피리어드;1set;Mistake Lose;;;Home2;Block;Color3
1set;597365;19186;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;642255;4451;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;661658;9185;1. 피리어드;1set;Mistake Lose;;;Home1;Cut;Color3
1set;681112;3233;1. 피리어드;1set;Successful Win;;초구;;;Color3
1set;693646;6217;1. 피리어드;1set;Mistake Lose;;;Home2;Drive;Color3
1set;711649;2267;1. 피리어드;1set;Successful Win;초구;;;;Color3
1set;725050;5536;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;741936;12203;1. 피리어드;1set;Away Successful Lose;중간볼;;;;Color3
1set;788861;16452;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;842185;8101;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;860620;4001;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
