이름;위치;기간;피리어드;Rally;Result;Player;실수 기술;상대성공실점;득점유형;ColorTag
1set;10295;32071;1. 피리어드;1set;Mistake Lose;Home1;Block;;;Color3
1set;58001;19753;1. 피리어드;1set;Away Successful Lose;;;수비;;Color3
1set;101207;5651;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;120027;3917;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;134728;5868;1. 피리어드;1set;Successful Win;;;;초구;Color3
1set;153797;9736;1. 피리어드;1set;Mistake Lose;Home1;Return;;;Color3
1set;174117;14085;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;202170;4735;1. 피리어드;1set;Mistake Lose;Home2;Serve;;;Color3
1set;219873;13385;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;248393;6618;1. 피리어드;1set;Away Successful Lose;;;초구;;Color3
1set;268564;24753;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;315185;9084;1. 피리어드;1set;Mistake Lose;Home2;Return;;;Color3
1set;340672;6301;1. 피리어드;1set;Successful Win;;;;중간볼;Color3
1set;370977;6551;1. 피리어드;1set;Away Successful Lose;;;중간볼;;Color3
1set;388996;5434;1. 피리어드;1set;Successful Win;;;;초구;Color3
1set;407314;5835;1. 피리어드;1set;Mistake Lose;Home2;Short Drive;;;Color3
1set;429218;15552;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;460722;14885;1. 피리어드;1set;Mistake Lose;Home2;Return;;;Color3
1set;494660;4768;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;511129;17969;1. 피리어드;1set;Successful Win;;;;중간볼;Color3
1set;599008;8618;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;618177;6784;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;640797;6183;1. 피리어드;1set;Successful Win;;;;초구;Color3
1set;671717;4401;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;688086;9202;1. 피리어드;1set;Mistake Lose;Home2;Block;;;Color3
1set;713289;5819;1. 피리어드;1set;Successful Win;;;;중간볼;Color3
1set;733026;8401;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;752828;20935;1. 피리어드;1set;Away Successful Lose;;;수비;;Color3
1set;789567;9001;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;814153;8234;1. 피리어드;1set;Successful Win;;;;공격;Color3
1set;837839;11785;1. 피리어드;1set;Successful Win;;;;수비;Color3
1set;863076;12135;1. 피리어드;1set;Successful Win;;;;공격;Color3
2set;997361;18036;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1034766;4684;1. 피리어드;2set;Mistake Lose;Home2;Serve;;;Color3
2set;1052518;3951;1. 피리어드;2set;Mistake Lose;Home2;Serve Receive;;;Color3
2set;1066771;4484;1. 피리어드;2set;Successful Win;;;;초구;Color3
2set;1082406;10752;1. 피리어드;2set;Successful Win;;;;중간볼;Color3
2set;1112110;8435;1. 피리어드;2set;Away Successful Lose;;;수비;;Color3
2set;1138064;5667;1. 피리어드;2set;Successful Win;;;;초구;Color3
2set;1155066;7918;1. 피리어드;2set;Mistake Lose;Home2;Short Drive;;;Color3
2set;1177918;5802;1. 피리어드;2set;Mistake Lose;Home1;Short Drive;;;Color3
2set;1193921;9400;1. 피리어드;2set;Mistake Lose;Home2;Return;;;Color3
2set;1217474;5916;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1241494;14669;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1272515;31671;1. 피리어드;2set;Successful Win;;;;중간볼;Color3
2set;1325354;14620;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1363428;6200;1. 피리어드;2set;Away Successful Lose;;;초구;;Color3
2set;1386564;2800;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1402499;5868;1. 피리어드;2set;Away Successful Lose;;;초구;;Color3
2set;1423519;5267;1. 피리어드;2set;Away Successful Lose;;;초구;;Color3
2set;1445055;5600;1. 피리어드;2set;Away Successful Lose;;;초구;;Color3
2set;1464474;4367;1. 피리어드;2set;Successful Win;;;;초구;Color3
2set;1481760;9585;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1557004;6968;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1574906;9285;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1602910;18419;1. 피리어드;2set;Away Successful Lose;;;수비;;Color3
2set;1647299;4434;1. 피리어드;2set;Mistake Lose;Home1;Serve Receive;;;Color3
2set;1667635;4801;1. 피리어드;2set;Successful Win;;;;초구;Color3
2set;1685937;23004;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1735544;4817;1. 피리어드;2set;Away Successful Lose;;;초구;;Color3
2set;1761598;12185;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1793469;8934;1. 피리어드;2set;Successful Win;;;;중간볼;Color3
2set;1821206;20836;1. 피리어드;2set;Successful Win;;;;공격;Color3
2set;1859344;8684;1. 피리어드;2set;Mistake Lose;Home1;Block;;;Color3
2set;1882731;7468;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1910485;9768;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1936688;10035;1. 피리어드;2set;Mistake Lose;Home2;Short Drive;;;Color3
2set;1961274;4518;1. 피리어드;2set;Mistake Lose;Home2;Drive;;;Color3
2set;1979660;13235;1. 피리어드;2set;Away Successful Lose;;;중간볼;;Color3
2set;2015699;4650;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
