이름;위치;기간;피리어드;Rally;Result;득점유형;Player;실수 기술;상대성공실점;ColorTag
1set;5579;2999;1. 피리어드;1set;Successful Win;초구;;;;Color3
1set;20562;3785;1. 피리어드;1set;Successful Win;초구;;;;Color3
1set;34948;4001;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;48617;14737;1. 피리어드;1set;Mistake Lose;;Home1;Smash;;Color3
1set;80106;5450;1. 피리어드;1set;Away Successful Lose;;;;수비;Color3
1set;100525;18020;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;136047;5483;1. 피리어드;1set;Away Successful Lose;;;;초구;Color3
1set;157583;6284;1. 피리어드;1set;Away Successful Lose;;;;중간볼;Color3
1set;180470;7885;1. 피리어드;1set;Successful Win;중간볼;;;;Color3
1set;202324;7218;1. 피리어드;1set;Away Successful Lose;;;;수비;Color3
1set;229361;3168;1. 피리어드;1set;Successful Win;초구;;;;Color3
1set;245614;6267;1. 피리어드;1set;Away Successful Lose;;;;중간볼;Color3
1set;266716;15903;1. 피리어드;1set;Away Successful Lose;;;;중간볼;Color3
1set;308640;7117;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;330209;20686;1. 피리어드;1set;Successful Win;중간볼;;;;Color3
1set;374900;6518;1. 피리어드;1set;Away Successful Lose;;;;중간볼;Color3
1set;397270;4701;1. 피리어드;1set;Mistake Lose;;Home1;ETC;;Color3
1set;416405;2150;1. 피리어드;1set;Away Successful Lose;;;;초구;Color3
1set;434058;6368;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;454145;6002;1. 피리어드;1set;Away Successful Lose;;;;초구;Color3
1set;522238;10385;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;546959;10102;1. 피리어드;1set;Mistake Lose;;Home1;Short Drive;;Color3
1set;576113;16319;1. 피리어드;1set;Away Successful Lose;;;;중간볼;Color3
1set;638289;3485;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;656359;8135;1. 피리어드;1set;Mistake Lose;;Home1;Smash;;Color3
1set;681012;4052;1. 피리어드;1set;Successful Win;초구;;;;Color3
1set;699899;7235;1. 피리어드;1set;Away Successful Lose;;;;수비;Color3
1set;729336;4784;1. 피리어드;1set;Successful Win;중간볼;;;;Color3
1set;748940;5401;1. 피리어드;1set;Away Successful Lose;;;;초구;Color3
1set;771526;10619;1. 피리어드;1set;Successful Win;중간볼;;;;Color3
1set;810065;4301;1. 피리어드;1set;Mistake Lose;;Home1;Serve;;Color3
1set;829885;5118;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;850038;4684;1. 피리어드;1set;Successful Win;중간볼;;;;Color3
1set;869574;7617;1. 피리어드;1set;Away Successful Lose;;;;중간볼;Color3
1set;895928;19886;1. 피리어드;1set;Mistake Lose;;Home2;Smash;;Color3
1set;937551;5319;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;988709;7418;1. 피리어드;1set;Away Successful Lose;;;;초구;Color3
1set;1018697;4249;1. 피리어드;1set;Successful Win;초구;;;;Color3
