이름,위치,기간,Result,득점상황,실점상황,Home player,Technics
1set (1),187720,6480,Away Mistake Win,,,,
1set (2),204200,14880,Away Successful Lose,,수비상황,,
1set (3),231080,4480,Away Successful Lose,,초구상황,,
1set (4),246440,12800,Away Successful Lose,,드라이브상황,,
1set (5),278280,6240,Away Mistake Win,,,,
1set (6),300920,6640,Away Mistake Win,,,,
1set (7),320760,8960,Away Successful Lose,,수비상황,,
1set (8),344600,11760,Mistake Lose,,,Home1,Clear
1set (9),375000,11920,Away Successful Lose,,드라이브상황,,
1set (10),408600,6160,Successful Win,드라이브상황,,,
1set (11),428600,14960,Successful Win,수비전환상황,,,
1set (12),466280,3840,Away Successful Lose,,드라이브상황,,
1set (13),491640,12800,Mistake Lose,,,Home1,cross
1set (14),528200,15840,Mistake Lose,,,Home2,Return
1set (15),566760,7120,Successful Win,공격상황,,,
1set (16),594680,12640,Mistake Lose,,,Home2,cross
1set (17),628840,2800,Successful Win,초구상황,,,
1set (18),647240,10880,Away Mistake Win,,,,
1set (19),678120,2720,Mistake Lose,,,Home1,Drive
1set (20),758880,10320,Mistake Lose,,,Home2,Block
1set (21),792240,11600,Away Successful Lose,,수비상황,,
1set (22),826160,6320,Mistake Lose,,,Home1,Cut
1set (23),854160,8080,Away Mistake Win,,,,
1set (24),881200,20560,Away Successful Lose,,수비상황,,
1set (25),935440,6240,Successful Win,드라이브상황,,,
1set (26),956720,11200,Away Successful Lose,,수비상황,,
1set (27),990160,6720,Mistake Lose,,,Home1,Smash
1set (28),1016560,4400,Away Mistake Win,,,,
1set (29),1034800,3600,Mistake Lose,,,Home1,숏서브
1set (30),1052240,4960,Away Successful Lose,,수비상황,,
1set (31),1072320,5600,Mistake Lose,,,Home1,Block
1set (32),1089360,5440,Mistake Lose,,,Home2,S.Drive
2set (1),1226080,8960,Mistake Lose,,,Home1,Push
2set (2),1247760,11120,Away Mistake Win,,,,
2set (3),1274480,2560,Away Mistake Win,,,,
2set (4),1289840,4320,Away Mistake Win,,,,
2set (5),1306240,4160,Away Successful Lose,,드라이브상황,,
2set (6),1331840,4720,Successful Win,초구상황,,,
2set (7),1350240,8640,Away Successful Lose,,수비상황,,
2set (8),1384240,5040,Successful Win,초구상황,,,
2set (9),1399040,10000,Away Successful Lose,,수비상황,,
2set (10),1430800,4560,Successful Win,초구상황,,,
2set (11),1448560,26480,Away Successful Lose,,드라이브상황,,
2set (12),1523760,5440,Away Successful Lose,,초구상황,,
2set (13),1546640,12320,Away Successful Lose,,수비상황,,
2set (14),1578320,5440,Mistake Lose,,,Home2,숏서브 리시브
2set (15),1598480,7520,Away Successful Lose,,드라이브상황,,
2set (16),1622320,8400,Away Successful Lose,,수비상황,,
2set (17),1648080,5040,Mistake Lose,,,Home1,롱서브 리시브
2set (18),1722320,4960,Away Successful Lose,,드라이브상황,,
2set (19),1744880,3280,Successful Win,초구상황,,,
2set (20),1759600,8000,Away Mistake Win,,,,
2set (21),1818240,5920,Away Mistake Win,,,,
2set (22),1834000,13200,Away Successful Lose,,드라이브상황,,
2set (23),1868720,4640,Mistake Lose,,,Home2,Push
2set (24),1885680,16960,Mistake Lose,,,Home1,Hairpin
2set (25),1924240,8880,Away Mistake Win,,,,
2set (26),1952160,9280,Successful Win,드라이브상황,,,
2set (27),1985440,4160,Mistake Lose,,,Home1,숏서브
2set (28),2004400,19600,Away Mistake Win,,,,
2set (29),2046960,12240,Away Mistake Win,,,,
2set (30),2079120,4400,Mistake Lose,,,Home2,숏서브
2set (31),2105920,6480,Mistake Lose,,,Home1,Return
2set (32),2131280,3760,Away Successful Lose,,초구상황,,
2set (33),2150320,3920,Mistake Lose,,,Home2,숏서브 리시브
2set (34),2171680,4080,Successful Win,초구상황,,,
2set (35),2191680,5360,Away Successful Lose,,드라이브상황,,
