이름;위치;기간;피리어드;Rally;Result;Last ball;Rating;ColorTag
1set;15315;6071;1. 피리어드;1set;Away Successful Lose;6;;Color2
1set;33330;5504;1. 피리어드;1set;Successful Win;4;;Color2
1set;50658;8623;1. 피리어드;1set;Mistake Lose;;;Color2
1set;71660;11476;1. 피리어드;1set;Successful Win;1;;Color2
1set;96811;11429;1. 피리어드;1set;Mistake Lose;;;Color2
1set;120332;5302;1. 피리어드;1set;Away Mistake Win;;;Color2
1set;135626;4689;1. 피리어드;1set;Away Successful Lose;;;Color2
1set;150804;4938;1. 피리어드;1set;Mistake Lose;;;Color2
1set;165300;6806;1. 피리어드;1set;Successful Win;8;;Color2
1set;183627;7205;1. 피리어드;1set;Away Successful Lose;6;;Color2
1set;202660;7907;1. 피리어드;1set;Successful Win;2;;Color2
1set;224209;4022;1. 피리어드;1set;Successful Win;1;;Color2
1set;238786;5723;1. 피리어드;1set;Successful Win;1;;Color2
1set;254666;8072;1. 피리어드;1set;Away Successful Lose;3;;Color2
1set;275181;5540;1. 피리어드;1set;Mistake Lose;;;Color2
1set;288843;3319;1. 피리어드;1set;Successful Win;6;;Color2
1set;301005;4271;1. 피리어드;1set;Successful Win;5;;Color2
1set;316016;20850;1. 피리어드;1set;Away Mistake Win;;;Color2
1set;351176;7756;1. 피리어드;1set;Away Mistake Win;;;Color2
1set;420585;8191;1. 피리어드;1set;Successful Win;9;;Color2
1set;439931;12292;1. 피리어드;1set;Away Successful Lose;1;;Color2
1set;472174;5770;1. 피리어드;1set;Mistake Lose;;;Color2
1set;492637;17663;1. 피리어드;1set;Away Successful Lose;5;;Color2
1set;529898;13827;1. 피리어드;1set;Successful Win;2;;Color2
1set;563602;2955;1. 피리어드;1set;Successful Win;1;;Color2
1set;581079;19715;1. 피리어드;1set;;;;Color2
1set;603211;2253;1. 피리어드;1set;Mistake Lose;;;Color2
1set;617872;14526;1. 피리어드;1set;Away Mistake Win;;;Color2
1set;648509;14676;1. 피리어드;1set;Successful Win;6;;Color2
1set;684735;20499;1. 피리어드;1set;Mistake Lose;;;Color2
1set;727582;5204;1. 피리어드;1set;Successful Win;6;;Color2
1set;752235;4818;1. 피리어드;1set;Successful Win;3;;Color2
1set;766845;6436;1. 피리어드;1set;Away Mistake Win;;;Color2
1set;784442;20563;1. 피리어드;1set;Successful Win;;;Color2
1set;821200;10444;1. 피리어드;1set;Successful Win;6;;Color2
2set;960585;8809;1. 피리어드;2set;Mistake Lose;;;Color2
2set;982436;13077;1. 피리어드;2set;Successful Win;6;;Color2
2set;1011474;8290;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1028968;7907;1. 피리어드;2set;Successful Win;4;;Color2
2set;1053201;6340;1. 피리어드;2set;Away Mistake Win;;;Color2
2set;1065061;17194;1. 피리어드;2set;Away Successful Lose;1;;Color2
2set;1113080;7303;1. 피리어드;2set;Successful Win;6;;Color2
2set;1134776;5439;1. 피리어드;2set;Away Successful Lose;6;;Color2
2set;1168665;4236;1. 피리어드;2set;Successful Win;3;;Color2
2set;1185011;11441;1. 피리어드;2set;Successful Win;6;;Color2
2set;1213646;22618;1. 피리어드;2set;Away Successful Lose;6;;Color2
2set;1267048;6288;1. 피리어드;2set;Away Successful Lose;5;;Color2
2set;1288999;29370;1. 피리어드;2set;Away Mistake Win;;;Color2
2set;1350507;5586;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1370534;13178;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1399572;9807;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1423256;7039;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1444538;6857;1. 피리어드;2set;Successful Win;7;;Color2
2set;1463286;7507;1. 피리어드;2set;Successful Win;8;;Color2
2set;1486770;3638;1. 피리어드;2set;Away Successful Lose;4;;Color2
2set;1554420;31410;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1619737;11541;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1662615;23865;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1711059;11326;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1745080;4272;1. 피리어드;2set;Successful Win;2;;Color2
2set;1765625;3619;1. 피리어드;2set;Away Mistake Win;;;Color2
2set;1782518;4938;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1802895;10190;1. 피리어드;2set;Successful Win;6;;Color2
2set;1827778;18529;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1865100;4887;1. 피리어드;2set;Away Successful Lose;5;;Color2
2set;1884130;10206;1. 피리어드;2set;Successful Win;5;;Color2
2set;1910948;7737;1. 피리어드;2set;Away Successful Lose;6;;Color2
2set;1934781;13575;1. 피리어드;2set;Mistake Lose;;;Color2
2set;1960666;3721;1. 피리어드;2set;Mistake Lose;;;Color2
3set;2110815;13429;1. 피리어드;3set;Away Successful Lose;1;;Color2
3set;2142823;3337;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;2158332;16415;1. 피리어드;3set;Successful Win;2;;Color2
2set;2188339;2650;1. 피리어드;2set;Away Mistake Win;;;Color2
3set;2203914;11091;1. 피리어드;3set;Away Successful Lose;6;;Color2
3set;2231764;10723;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;2258213;12662;1. 피리어드;3set;Successful Win;6;;Color2
3set;2288716;7491;1. 피리어드;3set;Mistake Lose;;;Color2
3set;2309681;12593;1. 피리어드;3set;Successful Win;6;;Color2
3set;2340148;3172;1. 피리어드;3set;Successful Win;6;;Color2
3set;2370391;5538;1. 피리어드;3set;Successful Win;6;;Color2
3set;2388322;18648;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;2423416;7103;1. 피리어드;3set;Successful Win;1;;Color2
3set;2461008;18198;1. 피리어드;3set;Successful Win;4;5;Color2
3set;2552290;8222;1. 피리어드;3set;Mistake Lose;;;Color2
3set;2573871;20352;1. 피리어드;3set;Mistake Lose;;;Color2
3set;2612233;6624;1. 피리어드;3set;Mistake Lose;;;Color2
3set;2670206;20769;1. 피리어드;3set;Away Successful Lose;2;;Color2
3set;2720298;11527;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;2748568;10308;1. 피리어드;3set;Away Successful Lose;6;;Color2
3set;2779676;7707;1. 피리어드;3set;Successful Win;2;;Color2
3set;2803746;13411;1. 피리어드;3set;Successful Win;8;;Color2
3set;2851398;14096;1. 피리어드;3set;Successful Win;6;;Color2
3set;2888560;5622;1. 피리어드;3set;Mistake Lose;;;Color2
3set;2909557;12029;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;2934226;8741;1. 피리어드;3set;Away Successful Lose;3;;Color2
3set;2964017;6289;1. 피리어드;3set;Mistake Lose;;;Color2
3set;2984085;35034;1. 피리어드;3set;Away Successful Lose;1;;Color2
3set;3058163;6341;1. 피리어드;3set;Successful Win;4;;Color2
3set;3082651;8024;1. 피리어드;3set;Mistake Lose;;;Color2
3set;3109070;15398;1. 피리어드;3set;Mistake Lose;;;Color2
3set;3142563;17483;1. 피리어드;3set;Mistake Lose;;;Color2
3set;3183379;11946;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;3213336;11095;1. 피리어드;3set;Away Successful Lose;3;;Color2
3set;3246061;62864;1. 피리어드;3set;Mistake Lose;;;Color2
3set;3367761;5788;1. 피리어드;3set;Away Successful Lose;5;;Color2
3set;3402956;13014;1. 피리어드;3set;;;;Color2
3set;3471154;4839;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;3486733;40033;1. 피리어드;3set;Away Mistake Win;;;Color2
3set;3587146;17129;1. 피리어드;3set;Mistake Lose;;;Color2
3set;3641585;9908;1. 피리어드;3set;Mistake Lose;;;Color2
3set;3669655;6589;1. 피리어드;3set;Mistake Lose;;;Color2

