이름;위치;기간;피리어드;Rally;Result;Last ball;ColorTag
1set;41590;25986;1. 피리어드;1set;Mistake Lose;3;Color2
1set;82816;5554;1. 피리어드;1set;Successful Win;6;Color2
1set;99611;15198;1. 피리어드;1set;Successful Win;2;Color2
1set;130185;10508;1. 피리어드;1set;Away Successful Lose;6;Color2
1set;156956;19298;1. 피리어드;1set;Mistake Lose;;Color2
1set;193617;7371;1. 피리어드;1set;Mistake Lose;;Color2
1set;223956;8174;1. 피리어드;1set;Away Successful Lose;5;Color2
1set;269572;12875;1. 피리어드;1set;Away Successful Lose;3;Color2
1set;296241;11177;1. 피리어드;1set;Mistake Lose;;Color2
1set;319592;9473;1. 피리어드;1set;Successful Win;2;Color2
1set;345028;5403;1. 피리어드;1set;Successful Win;1;Color2
1set;367624;25886;1. 피리어드;1set;Mistake Lose;;Color2
1set;411839;7273;1. 피리어드;1set;Mistake Lose;;Color2
1set;433387;5072;1. 피리어드;1set;Mistake Lose;;Color2
1set;452102;14527;1. 피리어드;1set;Away Mistake Win;;Color2
1set;480693;4620;1. 피리어드;1set;Mistake Lose;;Color2
1set;547404;12641;1. 피리어드;1set;Successful Win;4;Color2
1set;573756;5821;1. 피리어드;1set;Successful Win;3;Color2
1set;601407;8638;1. 피리어드;1set;Away Successful Lose;6;Color2
1set;624190;13626;1. 피리어드;1set;Successful Win;9;Color2
1set;649676;9040;1. 피리어드;1set;Away Successful Lose;5;Color2
1set;674412;10108;1. 피리어드;1set;Away Successful Lose;3;Color2
1set;700181;6825;1. 피리어드;1set;Successful Win;4;Color2
1set;721100;4754;1. 피리어드;1set;Mistake Lose;;Color2
1set;738978;10726;1. 피리어드;1set;Mistake Lose;;Color2
1set;778679;6923;1. 피리어드;1set;Away Successful Lose;4;Color2
1set;797611;9207;1. 피리어드;1set;Away Successful Lose;9;Color2
1set;818193;7571;1. 피리어드;1set;Mistake Lose;;Color2
1set;835621;13795;1. 피리어드;1set;Away Mistake Win;;Color2
1set;860524;6605;1. 피리어드;1set;Mistake Lose;;Color2
1set;876520;11943;1. 피리어드;1set;Mistake Lose;;Color2
2set;1011382;18767;1. 피리어드;2set;Away Successful Lose;1;Color2
2set;1053648;7154;1. 피리어드;2set;Successful Win;8;Color2
2set;1134418;8141;1. 피리어드;2set;Mistake Lose;;Color2
2set;1154365;10694;1. 피리어드;2set;Successful Win;5;Color2
2set;1196963;5704;1. 피리어드;2set;Away Mistake Win;;Color2
2set;1219061;3287;1. 피리어드;2set;Mistake Lose;;Color2
2set;1233052;8823;1. 피리어드;2set;Mistake Lose;;Color2
2set;1262122;8840;1. 피리어드;2set;Away Successful Lose;5;Color2
2set;1287443;4802;1. 피리어드;2set;Mistake Lose;;Color2
2set;1305266;41972;1. 피리어드;2set;Mistake Lose;;Color2
2set;1369668;11159;1. 피리어드;2set;Mistake Lose;;Color2
2set;1399738;13293;1. 피리어드;2set;Away Mistake Win;;Color2
2set;1433428;29054;1. 피리어드;2set;Away Mistake Win;;Color2
2set;1484882;3317;1. 피리어드;2set;Away Successful Lose;3;Color2
2set;1503009;17163;1. 피리어드;2set;Away Successful Lose;2;Color2
2set;1534234;9723;1. 피리어드;2set;Mistake Lose;;Color2
2set;1609706;20114;1. 피리어드;2set;Away Successful Lose;1;Color2
2set;1646168;5570;1. 피리어드;2set;Mistake Lose;;Color2
2set;1665064;14611;1. 피리어드;2set;Successful Win;5;Color2
2set;1698542;4585;1. 피리어드;2set;Away Successful Lose;2;Color2
2set;1720221;20766;1. 피리어드;2set;Away Successful Lose;5;Color2
2set;1761652;15109;1. 피리어드;2set;;5;Color2
2set;1798960;13112;1. 피리어드;2set;Away Mistake Win;;Color2
2set;1833550;6540;1. 피리어드;2set;Away Mistake Win;;Color2
2set;1865187;8659;1. 피리어드;2set;Successful Win;6;Color2
2set;1893426;20265;1. 피리어드;2set;Successful Win;2;Color2
2set;1937426;6038;1. 피리어드;2set;Away Successful Lose;5;Color2
2set;1986627;8690;1. 피리어드;2set;Successful Win;2;Color2
2set;2027991;14812;1. 피리어드;2set;Away Successful Lose;5;Color2
2set;2065868;14577;1. 피리어드;2set;Successful Win;1;Color2
2set;2100595;5953;1. 피리어드;2set;Away Successful Lose;5;Color2
2set;2125814;23634;1. 피리어드;2set;Mistake Lose;;Color2
2set;2170166;7840;1. 피리어드;2set;Away Successful Lose;2;Color2

