이름;위치;기간;피리어드;Rally;Result;상대성공실점;득점유형;Player;실수 기술;ColorTag
1set;139115;6233;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;158933;10285;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;186021;4668;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;205507;2851;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;221977;5850;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;239329;17137;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;275151;2701;1. 피리어드;1set;Away Successful Lose;초구;;;;Color3
1set;288203;8668;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;318475;11336;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;343212;6234;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;361064;7052;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;383885;13385;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;411972;10386;1. 피리어드;1set;Mistake Lose;;;Home1;Smash;Color3
1set;435160;7634;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;454129;9919;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;483333;10152;1. 피리어드;1set;Away Successful Lose;공격;;;;Color3
1set;509237;9285;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;535391;6217;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;619004;4435;1. 피리어드;1set;Away Mistakes Win;;;;;Color3
1set;641941;13153;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;673313;9802;1. 피리어드;1set;Mistake Lose;;;Home1;ETC;Color3
1set;697967;20669;1. 피리어드;1set;Mistake Lose;;;Home1;Smash;Color3
1set;734589;7352;1. 피리어드;1set;Away Successful Lose;공격;;;;Color3
1set;757993;15486;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;803083;13203;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;839722;13386;1. 피리어드;1set;Mistake Lose;;;Home1;Smash;Color3
1set;870010;19620;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;916368;15418;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;956590;22104;1. 피리어드;1set;Mistake Lose;;;Home2;Short Drive;Color3
1set;998080;26121;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;1053222;19086;1. 피리어드;1set;Successful Win;;공격;;;Color3
1set;1096645;12801;1. 피리어드;1set;Away Successful Lose;수비;;;;Color3
1set;1130517;3701;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;1159672;32672;1. 피리어드;1set;Mistake Lose;;;Home1;Smash;Color3
1set;1241752;13519;1. 피리어드;1set;Mistake Lose;;;Home1;Drop;Color3
1set;1286075;18919;1. 피리어드;1set;Mistake Lose;;;Home2;Block;Color3
1set;1331831;4102;1. 피리어드;1set;Successful Win;;초구;;;Color3
1set;1359953;11318;1. 피리어드;1set;Successful Win;;중간볼;;;Color3
1set;1400643;7851;1. 피리어드;1set;Successful Win;;공격;;;Color3
2set;1550832;9702;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1570719;13786;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1602708;2750;1. 피리어드;2set;Mistake Lose;;;Home2;Smash;Color3
2set;1619826;10869;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1645897;14853;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1678469;25971;1. 피리어드;2set;Mistake Lose;;;Home1;Smash;Color3
2set;1730010;25654;1. 피리어드;2set;Successful Win;;공격;;;Color3
2set;1781551;6869;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;1802788;16885;1. 피리어드;2set;Successful Win;;공격;;;Color3
2set;1842595;13235;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1879284;2617;1. 피리어드;2set;Away Successful Lose;초구;;;;Color3
2set;1899903;2983;1. 피리어드;2set;Successful Win;;초구;;;Color3
2set;1921623;14652;1. 피리어드;2set;Mistake Lose;;;Home2;Block;Color3
2set;1955696;6301;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;1983766;10719;1. 피리어드;2set;Successful Win;;공격;;;Color3
2set;2017405;2867;1. 피리어드;2set;Away Successful Lose;초구;;;;Color3
2set;2036691;16970;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;2077080;13802;1. 피리어드;2set;Successful Win;;공격;;;Color3
2set;2118088;22553;1. 피리어드;2set;Mistake Lose;;;Home2;Drop;Color3
2set;2214736;6934;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;2255709;13669;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;2287513;3651;1. 피리어드;2set;Away Successful Lose;수비;;;;Color3
2set;2303533;18503;1. 피리어드;2set;Away Mistakes Win;;;;;Color3
2set;2345823;6551;1. 피리어드;2set;Successful Win;;공격;;;Color3
