이름,위치,기간,Badminton Total,Rally,Result,실점상황,점수,득점상황
1set (1),612278,10877,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (2),636569,9609,0:0,1set,Successful Win,,0:0,공격상황
1set (3),661127,4337,0:0,1set,Away Mistake Win,,0:0,
1set (4),684617,8341,0:0,1set,Successful Win,,0:0,드라이브상황
1set (5),708774,8608,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (6),737670,5205,0:0,1set,Away Mistake Win,,0:0,
1set (7),790322,6139,0:0,1set,Away Mistake Win,,0:0,
1set (8),816015,3403,0:0,1set,Away Successful Lose,초구상황,0:0,
1set (9),836235,18551,0:0,1set,Successful Win,,0:0,드라이브상황
1set (10),887553,8742,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (11),929862,3069,0:0,1set,Away Mistake Win,,0:0,
1set (12),950883,9876,0:0,1set,Successful Win,,0:0,수비전환상황
1set (13),983983,7140,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (14),1013812,2802,0:0,1set,Away Mistake Win,,0:0,
1set (15),1037036,5071,0:0,1set,Away Successful Lose,초구상황,0:0,
1set (16),1062261,7407,0:0,1set,Successful Win,,0:0,공격상황
1set (17),1091490,6139,0:0,1set,Successful Win,,0:0,드라이브상황
1set (18),1167833,5071,0:0,1set,Away Successful Lose,초구상황,0:0,
1set (19),1186585,4070,0:0,1set,Away Mistake Win,,0:0,
1set (20),1203202,9142,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (21),1241106,7474,0:0,1set,Successful Win,,0:0,공격상황
1set (22),1270269,6606,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (23),1296028,10677,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (24),1326591,12078,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (25),1366164,9142,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (26),1398463,5939,0:0,1set,Successful Win,,0:0,초구상황
1set (27),1435033,6206,0:0,1set,Away Mistake Win,,0:0,
1set (28),1457589,7007,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (29),1488820,9743,0:0,1set,Away Mistake Win,,0:0,
1set (30),1548413,2802,0:0,1set,Away Mistake Win,,0:0,
1set (31),1566364,4804,0:0,1set,Mistake Lose,,0:0,
1set (32),1591790,10477,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (33),1630962,5205,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (34),1658123,20020,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (35),1712777,4938,0:0,1set,Away Successful Lose,드라이브상황,0:0,
1set (36),1739738,11811,0:0,1set,Successful Win,,0:0,드라이브상황
1set (37),1792991,7674,0:0,1set,Away Successful Lose,수비상황,0:0,
1set (38),1828693,4404,0:0,1set,Away Mistake Win,,0:0,
1set (39),1855787,5739,0:0,1set,Away Successful Lose,초구상황,0:0,
1set (40),1904102,22355,0:0,1set,Away Successful Lose,수비상황,0:0,
2set (1),2071102,6673,0:0,2set,Successful Win,,0:0,드라이브상황
2set (2),2111742,4537,0:0,2set,Away Mistake Win,,0:0,
2set (3),2132897,12679,0:0,2set,Successful Win,,0:0,드라이브상황
2set (4),2168132,6339,0:0,2set,Away Successful Lose,드라이브상황,0:0,
2set (5),2197295,10677,0:0,2set,Mistake Lose,,0:0,
2set (6),2232663,4404,0:0,2set,Successful Win,,0:0,초구상황
2set (7),2255620,9009,0:0,2set,Away Successful Lose,드라이브상황,0:0,
2set (8),2289387,3603,0:0,2set,Away Mistake Win,,0:0,
2set (9),2310007,11277,0:0,2set,Away Successful Lose,공격상황,0:0,
2set (10),2349513,3403,0:0,2set,Away Mistake Win,,0:0,
2set (11),2375806,12612,0:0,2set,Successful Win,,0:0,공격상황
2set (12),2450080,2335,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (13),2473904,6006,0:0,2set,Away Mistake Win,,0:0,
2set (14),2501265,3203,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (15),2529693,4404,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (16),2557054,13947,0:0,2set,Successful Win,,0:0,드라이브상황
2set (17),2640404,5805,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (18),2670701,8475,0:0,2set,Away Successful Lose,수비상황,0:0,
2set (19),2707337,4738,0:0,2set,Successful Win,,0:0,초구상황
2set (20),2729226,11344,0:0,2set,Mistake Lose,,0:0,
2set (21),2775272,9142,0:0,2set,Successful Win,,0:0,드라이브상황
2set (22),2867097,5005,0:0,2set,Away Successful Lose,,0:0,
2set (23),2892055,4671,0:0,2set,Away Mistake Win,,0:0,
2set (24),2932629,11945,0:0,2set,Away Mistake Win,,0:0,
2set (25),2972002,14547,0:0,2set,Away Mistake Win,,0:0,
2set (26),3048478,15615,0:0,2set,Away Successful Lose,수비상황,0:0,
2set (27),3098595,6339,0:0,2set,Away Successful Lose,드라이브상황,0:0,
2set (28),3136500,10410,0:0,2set,Away Successful Lose,수비상황,0:0,
2set (29),3181678,7273,0:0,2set,Away Successful Lose,드라이브상황,0:0,
2set (30),3229659,9275,0:0,2set,Mistake Lose,,0:0,
2set (31),3275238,4270,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (32),3310006,4070,0:0,2set,Successful Win,,0:0,초구상황
2set (33),3401164,6406,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (34),3430260,9009,0:0,2set,Successful Win,,0:0,공격상황
2set (35),3463893,6272,0:0,2set,Away Successful Lose,초구상황,0:0,
2set (36),3501865,7340,0:0,2set,Successful Win,,0:0,드라이브상황
2set (37),3530560,4671,0:0,2set,Mistake Lose,,0:0,
2set (38),3605702,6606,0:0,2set,Successful Win,,0:0,드라이브상황
2set (39),3653082,9009,0:0,2set,Away Successful Lose,드라이브상황,0:0,
