이름,위치,기간,Badminton Total,Direction,Rally,Result,Technics,점수,패턴코트위치,뒷사각
1set (1),119933,20633,0:0,Right,1set,Mistake Lose,Clear,0:0,,
1set (2),149100,13933,0:0,,1set,Away Mistake Win,,0:0,,
1set (3),174900,22266,0:0,Left,1set,Mistake Lose,Clear,0:0,,
1set (4),210100,6200,0:0,,1set,Away Mistake Win,,0:0,,
1set (5),230633,6000,0:0,,1set,Successful Win,,0:0,1B;1A;4B,
1set (6),249300,5666,0:0,,1set,Away Mistake Win,,0:0,,
1set (7),263500,21400,0:0,,1set,Successful Win,,0:0,2B;2A;1B,
1set (8),300900,10600,0:0,Left,1set,Mistake Lose,Smash,0:0,,
1set (9),322500,8066,0:0,,1set,Successful Win,,0:0,3A;1B,
1set (10),343233,8800,0:0,,1set,Successful Win,,0:0,2B;1A;3B,
1set (11),380933,5100,0:0,,1set,Away Successful Lose,,0:0,4A;3B;1A,뒤앞
1set (12),401766,20200,0:0,,1set,Successful Win,,0:0,5B;2A;4B,
1set (13),440166,17533,0:0,,1set,Away Successful Lose,,0:0,1A;4B;4A,앞뒤
1set (14),480166,9666,0:0,,1set,Away Mistake Win,,0:0,,
1set (15),502300,25466,0:0,,1set,Successful Win,,0:0,3B;4A;2B,
1set (16),560300,7733,0:0,Right,1set,Mistake Lose,Drop,0:0,,
1set (17),589733,4366,0:0,,1set,Away Successful Lose,,0:0,3A;4B;2A,뒤앞
1set (18),609833,5133,0:0,Left,1set,Mistake Lose,숏서브 리시브,0:0,,
1set (19),625033,11000,0:0,,1set,Away Mistake Win,,0:0,,
1set (20),698266,5066,0:0,,1set,Successful Win,,0:0,2B;3A;1B,
1set (21),713400,19600,0:0,,1set,Away Mistake Win,,0:0,,
1set (22),754866,5400,0:0,,1set,Away Successful Lose,,0:0,3A;2B;2A,뒤앞
1set (23),775200,12800,0:0,,1set,Away Mistake Win,,0:0,,
1set (24),802533,14200,0:0,,1set,Successful Win,,0:0,5B;2A;3B,
1set (25),845600,10066,0:0,,1set,Successful Win,,0:0,2B;1A;3B,
1set (26),869333,9933,0:0,Left,1set,Mistake Lose,Smash,0:0,,
1set (27),891333,10133,0:0,,1set,Away Mistake Win,,0:0,,
