이름;위치;기간;피리어드;Rally;Result;실수 기술;Zone;ColorTag
1set;6314;18053;1. 피리어드;1set;Mistake Lose;Drop;;Color2
1set;35901;6984;1. 피리어드;1set;Mistake Lose;Drop;;Color2
1set;50303;10001;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;73705;12268;1. 피리어드;1set;Mistake Lose;Clear;;Color2
1set;99259;16869;1. 피리어드;1set;Successful Win;;Zone 3;Color2
1set;134897;9919;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;158234;11617;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;185270;11052;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;210323;8135;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;231293;12169;1. 피리어드;1set;Away Successful Lose;;Zone 3;Color2
1set;262280;14519;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;291484;14668;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;322888;10751;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;360226;12219;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;400215;23686;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;440770;12835;1. 피리어드;1set;Mistake Lose;Cut;;Color2
1set;469290;9002;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;494877;5351;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;573854;11319;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;593591;39605;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;664149;7968;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;684152;10468;1. 피리어드;1set;Away Successful Lose;;Zone 1;Color2
1set;708089;9101;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;731726;20068;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;774364;10351;1. 피리어드;1set;Away Successful Lose;;Zone 8;Color2
1set;804652;11735;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;828588;9568;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;851690;4418;1. 피리어드;1set;Away Successful Lose;;Zone 3;Color2
1set;867809;10114;1. 피리어드;1set;Mistake Lose;Drive;;Color2
1set;890593;10596;1. 피리어드;1set;Successful Win;;Zone 5;Color2
1set;919072;7217;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;941290;15901;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;995196;8519;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;1013282;7751;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
2set;1158951;9268;1. 피리어드;2set;Mistake Lose;Smash;;Color2
2set;1179337;17019;1. 피리어드;2set;Away Successful Lose;;Zone 8;Color2
2set;1214857;5634;1. 피리어드;2set;Mistake Lose;Drop;;Color2
2set;1231077;9384;1. 피리어드;2set;Mistake Lose;Clear;;Color2
2set;1260864;7718;1. 피리어드;2set;Mistake Lose;Hairpin;;Color2
2set;1284483;10068;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1305920;30237;1. 피리어드;2set;Mistake Lose;Return;;Color2
2set;1360009;8735;1. 피리어드;2set;Mistake Lose;Cross;;Color2
2set;1380812;17185;1. 피리어드;2set;Successful Win;;Zone 4;Color2
2set;1410782;3251;1. 피리어드;2set;Mistake Lose;Drive;;Color2
2set;1428718;11436;1. 피리어드;2set;Mistake Lose;Cut;;Color2
2set;1458839;9368;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1479291;22420;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1536165;10036;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1563752;12735;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1598406;7735;1. 피리어드;2set;Successful Win;;Zone 3;Color2
2set;1619209;40705;1. 피리어드;2set;Away Successful Lose;;Zone 2;Color2
2set;1741208;6551;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1765210;13135;1. 피리어드;2set;Away Successful Lose;;Zone 6;Color2
2set;1809334;20353;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1852889;8348;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1920790;10484;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1945809;10951;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1970979;8634;1. 피리어드;2set;Successful Win;;Zone 3;Color2
2set;1995749;16719;1. 피리어드;2set;Successful Win;;Zone 1;Color2
2set;2034187;12984;1. 피리어드;2set;Mistake Lose;Clear;;Color2
2set;2069642;6751;1. 피리어드;2set;Mistake Lose;Smash;;Color2
2set;2086660;19037;1. 피리어드;2set;Away Successful Lose;;Zone 6;Color2
2set;2121314;17102;1. 피리어드;2set;Mistake Lose;Smash;;Color2
2set;2156252;17685;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
