이름;위치;기간;피리어드;Rally;Result;실수 기술;Zone;ColorTag
1set;33751;7168;1. 피리어드;1set;Mistake Lose;Cross;;Color2
1set;50220;10569;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;70556;7718;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;89542;5651;1. 피리어드;1set;Successful Win;;Zone 5;Color2
1set;108212;4850;1. 피리어드;1set;Successful Win;;Zone 3;Color2
1set;123447;9102;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;142749;32022;1. 피리어드;1set;Successful Win;;Zone 5;Color2
1set;193457;5684;1. 피리어드;1set;Mistake Lose;Cut;;Color2
1set;213726;11401;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;239046;4518;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;253398;10385;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;277352;11435;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;303473;7101;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;332177;6634;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;353097;7901;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;374265;7652;1. 피리어드;1set;Successful Win;;Zone 1;Color2
1set;404470;29639;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;484414;6185;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;507318;6451;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;527003;6518;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;641737;24687;1. 피리어드;1set;Successful Win;;Zone 3;Color2
1set;682393;9568;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;712797;15352;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;751269;10685;1. 피리어드;1set;Mistake Lose;Smash;;Color2
1set;776606;13901;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;805477;4667;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;824463;10234;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;851499;3768;1. 피리어드;1set;Away Successful Lose;;Zone 3;Color2
1set;871553;4518;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;894123;12535;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;927844;17969;1. 피리어드;1set;Successful Win;;Zone 4;Color2
