이름;위치;기간;피리어드;Rally;Result;실수 기술;Zone;ColorTag
1set;2212;11951;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;24199;4283;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;68855;9586;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;92825;7534;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;114846;7135;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;132032;7367;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;153718;7735;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;175155;5284;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;191291;4084;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;208893;5651;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;223095;9651;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;247465;34906;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;300073;6301;1. 피리어드;1set;Mistake Lose;ETC;;Color2
1set;325577;17253;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;367684;13934;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;400338;17636;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;442945;7134;1. 피리어드;1set;Mistake Lose;Return;;Color2
1set;462614;9552;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;488684;19387;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;530874;11969;1. 피리어드;1set;Mistake Lose;Hairpin;;Color2
1set;565299;4914;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;635790;8818;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;658027;31372;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;711634;18552;1. 피리어드;1set;Mistake Lose;Cross;;Color2
1set;751290;8202;1. 피리어드;1set;Away Successful Lose;;Zone 5;Color2
1set;776310;12569;1. 피리어드;1set;Successful Win;;Zone 6;Color2
1set;810549;16886;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;846438;15987;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;889345;13752;1. 피리어드;1set;Mistake Lose;Cut;;Color2
1set;930367;13069;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;967757;25936;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1013029;28504;1. 피리어드;1set;Away Successful Lose;;Zone 1;Color2
1set;1086340;12020;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;1113428;19536;1. 피리어드;1set;Successful Win;;Zone 4;Color2
1set;1155284;9152;1. 피리어드;1set;Successful Win;;Zone 8;Color2
1set;1182538;22120;1. 피리어드;1set;Away Successful Lose;;Zone 6;Color2
1set;1242330;44924;1. 피리어드;1set;Successful Win;;Zone 2;Color2
1set;1332426;13486;1. 피리어드;1set;Successful Win;;Zone 6;Color2
2set;1486500;10834;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1511687;13085;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1537424;23970;1. 피리어드;2set;Mistake Lose;Drop;;Color2
2set;1577547;20487;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1626537;7485;1. 피리어드;2set;Successful Win;;Zone 3;Color2
2set;1645557;21836;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;1709650;8885;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;1732187;4400;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1747056;9334;1. 피리어드;2set;Successful Win;;Zone 3;Color2
2set;1768975;19370;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;1803864;9151;1. 피리어드;2set;Mistake Lose;Drive;;Color2
2set;1832351;4384;1. 피리어드;2set;Successful Win;;Zone 1;Color2
2set;1856539;15202;1. 피리어드;2set;Successful Win;;Zone 5;Color2
2set;1887692;12286;1. 피리어드;2set;Successful Win;;Zone 8;Color2
2set;1962637;16386;1. 피리어드;2set;Mistake Lose;Drive;;Color2
2set;1996893;13118;1. 피리어드;2set;Away Successful Lose;;Zone 2;Color2
2set;2026864;10902;1. 피리어드;2set;Away Successful Lose;;Zone 1;Color2
2set;2058134;14903;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2089139;14152;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2118494;12236;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2149098;12736;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2180470;7834;1. 피리어드;2set;Mistake Lose;Smash;;Color2
2set;2201822;12586;1. 피리어드;2set;Successful Win;;Zone 8;Color2
2set;2229693;17253;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;2267233;14552;1. 피리어드;2set;Successful Win;;Zone 2;Color2
2set;2299871;15152;1. 피리어드;2set;Away Successful Lose;;Zone 3;Color2
2set;2336242;7868;1. 피리어드;2set;Away Successful Lose;;Zone 8;Color2
2set;2360846;17754;1. 피리어드;2set;Away Successful Lose;;Zone 2;Color2
2set;2413754;7968;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
2set;2457278;4484;1. 피리어드;2set;Successful Win;;Zone 6;Color2
2set;2474497;24070;1. 피리어드;2set;Away Successful Lose;;Zone 1;Color2
2set;2518537;8719;1. 피리어드;2set;Away Successful Lose;;Zone 1;Color2
2set;2549424;11669;1. 피리어드;2set;Away Mistakes Win;;;Color2
2set;2576546;12285;1. 피리어드;2set;Away Mistakes Win;Clear;;Color2
2set;2601282;9135;1. 피리어드;2set;Away Successful Lose;;Zone 5;Color2
