이름;위치;기간;피리어드;Rally;Result;Zone;실수 기술;ColorTag
1set;17015;27037;1. 피리어드;1set;Away Successful Lose;뒤-사이드(뒷사각);;Color2
1set;61904;12968;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;91559;18253;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;132348;8668;1. 피리어드;1set;Successful Win;뒤-사이드(뒷사각);;Color2
1set;158702;6602;1. 피리어드;1set;Away Successful Lose;뒤-사이드(뒷사각);;Color2
1set;182588;9552;1. 피리어드;1set;Successful Win;뒤-사이드(뒷사각);;Color2
1set;214510;11552;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;244331;4617;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;268384;5451;1. 피리어드;1set;Mistake Lose;;Hairpin;Color2
1set;288637;16936;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;329476;5768;1. 피리어드;1set;Successful Win;앞-앞(헤어핀싸움);;Color2
1set;354547;12735;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;392219;8251;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;416472;23504;1. 피리어드;1set;Successful Win;뒤-사이드(뒷사각);;Color2
1set;458428;9802;1. 피리어드;1set;Mistake Lose;;Drop;Color2
1set;487816;9718;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;515119;16503;1. 피리어드;1set;Away Successful Lose;앞-앞(헤어핀싸움);;Color2
1set;554592;16804;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;613484;19669;1. 피리어드;1set;Away Successful Lose;사이드-뒤;;Color2
1set;660123;15903;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;694712;15652;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;782440;5585;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;801927;17736;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;841499;11902;1. 피리어드;1set;Mistake Lose;;Receive;Color2
1set;869269;10952;1. 피리어드;1set;Mistake Lose;;Clear;Color2
1set;894607;13703;1. 피리어드;1set;Successful Win;사이드-앞;;Color2
1set;929429;4786;1. 피리어드;1set;Successful Win;옆-옆(중간볼);;Color2
1set;952632;13518;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;986187;6751;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1010206;10102;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1038776;7902;1. 피리어드;1set;Successful Win;앞-사이드(앞사각);;Color2
1set;1071148;20070;1. 피리어드;1set;Away Successful Lose;뒤-앞;;Color2
1set;1111537;6235;1. 피리어드;1set;Mistake Lose;;Serve Receive;Color2
1set;1133741;13468;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1166963;14868;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;1203784;10719;1. 피리어드;1set;Mistake Lose;;Drop;Color2
1set;1234122;25870;1. 피리어드;1set;Away Mistakes Win;;;Color2
1set;1290364;7801;1. 피리어드;1set;Away Successful Lose;앞-사이드(앞사각);;Color2
1set;1318368;14986;1. 피리어드;1set;Away Successful Lose;옆-옆(중간볼);;Color2
1set;1358439;21804;1. 피리어드;1set;Successful Win;옆-옆(중간볼);;Color2
