이름;위치;기간;피리어드;Rally;득점유형;Result;상대성공실점;실수 기술;Player;ColorTag
1set;8710;8018;1. 피리어드;1set;공격;Successful Win;;;;Color3
1set;27946;20903;1. 피리어드;1set;;Away Successful Lose;중간볼;;;Color3
1set;74087;3600;1. 피리어드;1set;;Away Mistakes Win;;;;Color3
1set;100107;8585;1. 피리어드;1set;;Away Mistakes Win;;;;Color3
1set;126211;11151;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;159166;5384;1. 피리어드;1set;초구;Successful Win;;;;Color3
1set;177568;8819;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;200206;2650;1. 피리어드;1set;;Away Successful Lose;초구;;;Color3
1set;216241;23554;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;267833;5151;1. 피리어드;1set;;Away Successful Lose;공격;;;Color3
1set;291435;1900;1. 피리어드;1set;;Away Mistakes Win;;;;Color3
1set;310722;6434;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;335409;8452;1. 피리어드;1set;;Away Mistakes Win;;;;Color3
1set;362646;5952;1. 피리어드;1set;초구;Successful Win;;;;Color3
1set;385699;14769;1. 피리어드;1set;;Away Successful Lose;공격;;;Color3
1set;421155;3401;1. 피리어드;1set;;Away Successful Lose;초구;;;Color3
1set;442407;12186;1. 피리어드;1set;공격;Successful Win;;;;Color3
1set;479847;15687;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;518369;22055;1. 피리어드;1set;공격;Successful Win;;;;Color3
1set;567243;8885;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;646255;6501;1. 피리어드;1set;공격;Successful Win;;;;Color3
1set;673208;2367;1. 피리어드;1set;;Away Successful Lose;초구;;;Color3
1set;695528;3102;1. 피리어드;1set;;Mistake Lose;;Serve Receive;Home2;Color3
1set;714999;3000;1. 피리어드;1set;;Away Successful Lose;초구;;;Color3
1set;796744;12802;1. 피리어드;1set;;Away Successful Lose;중간볼;;;Color3
1set;828965;9368;1. 피리어드;1set;;Away Successful Lose;수비;;;Color3
1set;857735;7335;1. 피리어드;1set;중간볼;Successful Win;;;;Color3
1set;889091;6818;1. 피리어드;1set;중간볼;Successful Win;;;;Color3
1set;919679;5635;1. 피리어드;1set;초구;Successful Win;;;;Color3
1set;941899;8468;1. 피리어드;1set;공격;Successful Win;;;;Color3
1set;977554;5951;1. 피리어드;1set;;Away Successful Lose;초구;;;Color3
1set;1000257;2901;1. 피리어드;1set;;Away Mistakes Win;;;;Color3
